-95.67, 52.90, -97.42, 47.40, 5.36, -46.31, -41.04,    
-49.23, 89.20, -90.63, 44.21, 7.35, -4.32, -7.33   
-67.50 47.56 -91.68 28.32 22.34 -47.44 -55.57    
-63.82 44.41 -83.13 58.44 40.17 -18.93 -83.25

19.78 97.83 12.25 -44.11 62.94 -31.85 -155.49
-2.05 97.83 32.64 -19.48 45.03 -4.83 -162.74
1.41 92.52 29.45 -12.96 43.92 -4.26 -158.82

-15.50 111.50 45.24 -38.54 11.78 -4.55 -134.89
0.68 91.59 50.59 -12.15 10.98 -3.40 -143.67
-39.89 10.38 -58.44 30.63 14.84 -62.18 -84.00
-74.69 58.62 -95.44 40.50 21.30 -45.83 -35.83




